region,year,grdp_pc_thousand_rp_const2012,adjusted_expenditure_pc_thousand_rp_const2012,poverty_headcount_pct,gini_index_pct
SULAWESI TENGAH,2010,21928.0,7988,,36.6
MALUKU UTARA,2010,16101.4,6813,,33.6
JAWA BARAT,2010,23516.0,9174,,35.6
BANTEN,2010,28474.5,10777,,41.9
INDONESIA,2010,32264.6,9437,,37.8
SULAWESI TENGAH,2011,23662.6,8077,,37.6
MALUKU UTARA,2011,16811.2,6935,,33.4
JAWA BARAT,2011,24638.9,9249,,41.1
BANTEN,2011,29765.3,10933,,40.4
INDONESIA,2011,33760.4,9647,,41.0
SULAWESI TENGAH,2012,25477.5,8286,15.4,40.0
MALUKU UTARA,2012,17591.9,7059,8.47,33.8
JAWA BARAT,2012,25826.7,9325,10.09,41.2
BANTEN,2012,31074.2,11008,5.85,38.7
INDONESIA,2012,35338.5,9815,11.96,41.0
SULAWESI TENGAH,2013,27458.0,8501,14.67,40.7
MALUKU UTARA,2013,18310.8,7200,7.5,31.8
JAWA BARAT,2013,27040.2,9421,9.52,41.1
BANTEN,2013,32413.1,11061,5.74,39.9
INDONESIA,2013,36857.4,9858,11.37,41.3
SULAWESI TENGAH,2014,28383.3,8602,13.93,37.2
MALUKU UTARA,2014,18913.2,7234,7.3,32.5
JAWA BARAT,2014,27991.5,9447,9.44,41.3
BANTEN,2014,33462.5,11150,5.35,39.5
INDONESIA,2014,38262.2,9903,11.25,40.6
SULAWESI TENGAH,2015,32265.1,8768,14.66,37.4
MALUKU UTARA,2015,19657.9,7423,6.84,28.0
JAWA BARAT,2015,28976.6,9778,9.53,41.5
BANTEN,2015,34545.9,11261,5.9,40.1
INDONESIA,2015,39421.7,10150,11.22,40.8
SULAWESI TENGAH,2016,34924.9,9034,14.45,36.2
MALUKU UTARA,2016,20379.4,7545,6.33,28.6
JAWA BARAT,2016,30185.2,10035,8.95,41.3
BANTEN,2016,35631.8,11469,5.42,39.4
INDONESIA,2016,40886.7,10420,10.86,39.7
SULAWESI TENGAH,2017,36841.4,9311,14.14,35.5
MALUKU UTARA,2017,21518.1,7792,6.35,31.7
JAWA BARAT,2017,31359.5,10285,8.71,40.3
BANTEN,2017,36939.1,11659,5.45,38.2
INDONESIA,2017,42437.0,10664,10.64,39.3
SULAWESI TENGAH,2018,43780.1,9488,14.01,34.6
MALUKU UTARA,2018,22769.9,7980,6.64,32.8
JAWA BARAT,2018,32692.7,10790,7.45,40.7
BANTEN,2018,38325.0,11994,5.24,38.5
INDONESIA,2018,44106.6,11059,9.82,38.9
SULAWESI TENGAH,2019,47149.3,9604,13.48,32.7
MALUKU UTARA,2019,24132.7,8308,6.77,31.2
JAWA BARAT,2019,34097.9,11152,6.91,40.2
BANTEN,2019,40264.8,12267,5.09,36.5
INDONESIA,2019,45991.3,11299,9.41,38.2
SULAWESI TENGAH,2020,50510.3,9335,12.92,32.6
MALUKU UTARA,2020,24570.0,8032,6.78,30.8
JAWA BARAT,2020,33836.8,10845,7.88,40.3
BANTEN,2020,41667.6,11964,5.92,36.3
INDONESIA,2020,44492.5,11013,9.78,38.1
SULAWESI TENGAH,2021,55710.1,9378,13,31.6
MALUKU UTARA,2021,28242.5,8140,6.89,30.0
JAWA BARAT,2021,34682.9,10934,8.4,41.2
BANTEN,2021,42984.1,12033,6.66,36.5
INDONESIA,2021,45721.2,11156,10.14,38.4
SULAWESI TENGAH,2022,63431.2,9696,12.33,30.8
MALUKU UTARA,2022,34224.7,8398,6.23,27.9
JAWA BARAT,2022,36153.4,11277,8.06,41.7
BANTEN,2022,44610.7,12216,6.16,36.3
INDONESIA,2022,47616.7,11479,9.54,38.4
SULAWESI TENGAH,2023,70165.9,10149,12.41,30.4
MALUKU UTARA,2023,41025.4,8834,6.46,30.0
JAWA BARAT,2023,37537.9,11695,7.62,42.5
BANTEN,2023,46222.9,12601,6.17,36.8
INDONESIA,2023,49486.6,11899,9.36,38.8
SULAWESI TENGAH,2024,76238.8,10536,11.77,30.1
MALUKU UTARA,2024,46099.7,9320,6.32,31.6
JAWA BARAT,2024,39018.4,12157,7.46,42.1
BANTEN,2024,47955.5,13097,5.84,35.3
INDONESIA,2024,51440.4,12341,9.03,37.9
